,brand,model,price,Spec-score,Rating,Network,processor,memory_card,android_version,Foldable,display_size,Resolution,Frame Rate,RAM,Memory,Rear Camera,Front Camera,Battery,Fast charge
0,OnePlus,Nord CE 5 5G,24998,83,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350 Apex, Octa Core, 3.35 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 16 MP Front Camera,7.1e+03, 80W Fast Charging
1,Ai+,Nova 5G,7999,67,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T8200, Octa Core Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.75, 720 x 1600 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP Dual Rear , 5 MP Front Camera,5e+03, 18W Fast Charging
2,Motorola,Moto G96 5G,17999,80,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v15,No,6.67, 1080 x 2400 px, 144 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,5.5e+03, 33W Fast Charging
3,Ai+,Pulse,4999,68,4.45,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T615, Octa Core, 1.8 GHz Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.75, 720 x 1600 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 64 GB inbuilt,50 MP Rear , 5 MP Front Camera,5e+03, 10W Fast Charging
4,OnePlus,Nord 5 5G,31999,84,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v15,No,6.83, 1272 x 2800 px, 144 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 50 MP Front Camera,6.8e+03, 80W Fast Charging
5,OPPO,Reno 14 Pro 5G,49999,90,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8450, Octa Core, 3.25 GHz Processor",Memory Card Not Supported,Android v15,No,6.83, 1272 x 2800 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 50 MP Triple Rear , 50 MP Front Camera,6.2e+03, 80W Fast Charging
6,OPPO,Reno 14 5G,37999,88,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor",Memory Card Not Supported,Android v15,No,6.59, 1256 x 2760 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 50 MP Front Camera,6e+03, 80W Fast Charging
7,Samsung,Galaxy S24 Ultra,74999,92,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor",Memory Card Not Supported,Android v14,No,6.8, 1440 x 3120 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,200 MP Quad Rear , 12 MP Front Camera,5e+03, 45W Fast Charging
8,Samsung,Galaxy M36 5G,17499,78,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1380, Octa Core, 2.4 GHz Processor",Memory Card (Hybrid),Android v15,No,6.7, 1080 x 2340 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
9,Motorola,Edge 60 5G,26320,88,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 7400, Octa Core, 2.6 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.7, 1220 x 2712 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 10 MP Triple Rear , 50 MP Front Camera,5.5e+03, 68W Fast Charging
10,OPPO,Reno 12 5G,19999,84,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor",Memory Card (Hybrid),Android v14,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 32 MP Front Camera,5e+03, 80W Fast Charging
11,Motorola,Edge 60 Fusion,22339,84,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","Dimensity 7400, Octa Core, 2.5 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.7, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 13 MP Dual Rear , 32 MP Front Camera,5.5e+03, 68W Fast Charging
12,Motorola,Edge 60 Pro,30199,80,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 8350 Extreme, Octa Core, 3.35 GHz Processor",Memory Card Not Supported,Android v15,No,6.7, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 10 MP Triple Rear , 50 MP Front Camera,6e+03, 90W Fast Charging
13,Ai+,Nova 5G ,9999,68,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T8200, Octa Core Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.75, 720 x 1600 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP Dual Rear , 5 MP Front Camera,5e+03, 18W Fast Charging
14,Motorola,Moto G96 5G ,19999,80,4.3,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v15,No,6.67, 1080 x 2400 px, 144 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,5.5e+03, 33W Fast Charging
15,Vivo,T4 5G,21674,79,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 32 MP Front Camera,7.3e+03, 90W Fast Charging
16,Vivo,T4x 5G,14429,75,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.72, 1080 x 2408 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6.5e+03, 44W Fast Charging
17,Samsung,Galaxy S24 FE 5G,35789,84,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2400e, Deca Core, 3.11 GHz Processor",Memory Card Not Supported,Android v14,No,6.7, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 12 MP + 8 MP Triple Rear , 10 MP Front Camera,4.7e+03, 25W Fast Charging
18,iQOO,Neo 10R,25998,82,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v15,No,6.78, 1260 x 2800 px, 144 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,6.4e+03, 80W Fast Charging
19,iQOO,Neo 10,31998,84,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor",Memory Card Not Supported,Android v15,No,6.78, 1260 x 2800 px, 144 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,7e+03, 120W Fast Charging
20,Poco,F7 5G,31999,83,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor",Memory Card Not Supported,Android v15,No,6.83, 1280 x 2772 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 20 MP Front Camera,7.55e+03, 90W Fast Charging
21,OnePlus,Nord CE 5 5G ,26998,83,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350 Apex, Octa Core, 3.35 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 16 MP Front Camera,7.1e+03, 80W Fast Charging
22,Samsung,Galaxy A55 5G,24999,85,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1480, Octa Core, 2.7 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.6, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 12 MP + 5 MP Triple Rear , 32 MP Front Camera,5e+03, 25W Fast Charging
23,Ai+,Pulse ,6999,71,4.3,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T615, Octa Core, 1.8 GHz Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.75, 720 x 1600 px, 90 Hz Display with Water Drop Notch,6 GB RAM, 128 GB inbuilt,50 MP Rear , 5 MP Front Camera,5e+03, 10W Fast Charging
24,Samsung,Galaxy M55s,15935,83,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.7, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 50 MP Front Camera,5e+03, 45W Fast Charging
25,OnePlus,13s 5G,54998,87,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor",Memory Card Not Supported,Android v15,No,6.32, 1216 x 2640 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 50 MP Dual Rear , 32 MP Front Camera,5.85e+03, 80W Fast Charging
26,Vivo,Y200 5G ,14000,80,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4 Gen1, Octa Core, 2 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v13,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,64 MP + 2 MP Dual Rear , 16 MP Front Camera,4.8e+03, 44W Fast Charging
27,iQOO,Z10 5G,21998,80,4.2,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 32 MP Front Camera,7.3e+03, 90W Fast Charging
28,Realme,P3 Pro 5G,19999,79,4.3,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.83, 1272 x 2800 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,6e+03, 80W Fast Charging
29,Motorola,Moto G85 5G,16115,80,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,5e+03, 33W Fast Charging
30,Vivo,T4 Lite 5G,9999,73,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card Supported, upto 2 TB",Android v15,No,6.74, 720 x 1600 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 5 MP Front Camera,6e+03, 15W Fast Charging
31,Motorola,Edge 50 Fusion,19200,83,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v14,No,6.67, 1080 x 2400 px, 144 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 13 MP Dual Rear , 32 MP Front Camera,5e+03, 68W Fast Charging
32,Oppo,K13,17740,78,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor",Memory Card Not Supported,Android v15,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,7e+03, 80W Fast Charging
33,OPPO,K13x 5G,11999,73,4.2,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card Supported, upto 2 TB",Android v15,No,6.67, 720 x 1604 px, 120 Hz Display with Punch Hole,4 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6e+03, 45W Fast Charging
34,Infinix,Hot 60 5G,10499,75,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7020, Octa Core, 2.2 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.7, 720 x 1600 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + Depth Sensor Dual Rear , 8 MP Front Camera,5.2e+03, Fast Charging
35,Realme,P3 5G,15989,78,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor",Memory Card Not Supported,Android v15,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,6e+03, 45W Fast Charging
36,Samsung,Galaxy A35 5G,20454,82,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.6, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 5 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
37,Samsung,Galaxy Z Fold 7,174999,95,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Elite for Galaxy, Octa Core, 4.47 GHz Processor",Memory Card Not Supported,Android version undefined,Yes,8.0, 1968 x 2184 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,200 MP + 12 MP + 10 MP Triple Rear , 10 MP + 10 MP Dual Front Camera,4.4e+03, 25W Fast Charging
38,Nothing,Phone 3a,23347,83,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 32 MP Front Camera,5e+03, 50W Fast Charging
39,Vivo,V50 5G,34999,83,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 50 MP Dual Rear , 50 MP Front Camera,6e+03, 90W Fast Charging
40,Poco,X7 5G,15999,82,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultra, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v14,No,6.67, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 20 MP Front Camera,5.5e+03, 45W Fast Charging
41,Samsung,Galaxy F22 ,6000,74,4.25,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio G80, Octa Core, 2 GHz Processor","Memory Card Supported, upto 1 TB",Android v11,No,6.4, 720 x 1600 px, 90 Hz Display with Water Drop Notch,6 GB RAM, 128 GB inbuilt,48 MP Quad Rear , 13 MP Front Camera,6e+03,Does not support
42,iQOO,Z10x,13498,74,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.72, 1080 x 2408 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6.5e+03, 44W Fast Charging
43,Vivo,Y400 Pro 5G,24998,79,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 32 MP Front Camera,5.5e+03, 90W Fast Charging
44,Motorola,Moto G45 5G ,11743,79,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.5, 720 x 1600 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,5e+03, 20W Fast Charging
45,Samsung,Galaxy S24 5G,49990,86,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2400, Deca Core, 3.2 GHz Processor",Memory Card Not Supported,Android v14,No,6.2, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 12 MP + 10 MP Triple Rear , 12 MP Front Camera,4e+03, 25W Fast Charging
46,Xiaomi,Redmi Note 14,16998,83,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7025 Ultra, Octa Core, 2.5 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 20 MP Front Camera,5.11e+03, 45W Fast Charging
47,Apple,iPhone 16,72900,85,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Bionic A18, Hexa Core, 4.04 GHz Processor",Memory Card Not Supported,Android version undefined,No,6.1, 1179 x 2556 px Display with Dynamic Island Display,,8 GB RAM, 128 GB inbuilt,48 MP + 12 MP Dual Rear , 12 MP Front Camera,3.56e+03, Fast Charging
48,OnePlus,Nord CE 5 5G ,28998,84,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350 Apex, Octa Core, 3.35 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 16 MP Front Camera,7.1e+03, 80W Fast Charging
49,Samsung,Galaxy S25 Ultra,117999,93,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor",Memory Card Not Supported,Android v15,No,6.9, 1440 x 3120 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,200 MP Quad Rear , 12 MP Front Camera,5e+03, 45W Fast Charging
50,Samsung,Galaxy M35 5G,16998,79,4.3,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.6, 1080 x 2340 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,6e+03, 25W Fast Charging
51,OnePlus,13R 5G,42997,87,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor",Memory Card Not Supported,Android v15,No,6.78, 1264 x 2780 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 16 MP Front Camera,6e+03, 80W Fast Charging
52,OnePlus,Nord 5 ,34999,85,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v15,No,6.83, 1272 x 2800 px, 144 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 50 MP Front Camera,6.8e+03, 80W Fast Charging
53,OnePlus,Nord CE 4 Lite 5G,17996,81,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 695, Octa Core, 2.2 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v14,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,5.5e+03, 80W Fast Charging
54,Samsung,Galaxy M36 5G ,21999,80,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1380, Octa Core, 2.4 GHz Processor",Memory Card (Hybrid),Android v15,No,6.7, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
55,Honor,X9c,20748,82,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor",Memory Card Not Supported,Android v14,No,6.78, 1224 x 2700 px Display with Punch Hole,,8 GB RAM, 256 GB inbuilt,108 MP + 5 MP Dual Rear , 16 MP Front Camera,6.6e+03, 66W Fast Charging
56,Vivo,T4 Ultra,39250,85,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor",Memory Card Not Supported,Android v15,No,6.67, 1260 x 2800 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 32 MP Front Camera,5.5e+03, 90W Fast Charging
57,Realme,GT 6,27999,87,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v14,No,6.78, 1264 x 2780 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 32 MP Front Camera,5.5e+03, 120W Fast Charging
58,Motorola,Edge 60 Pro ,37999,89,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 8350 Extreme, Octa Core, 3.35 GHz Processor",Memory Card Not Supported,Android v15,No,6.7, 1220 x 2712 px, 120 Hz Display with Punch Hole,16 GB RAM, 512 GB inbuilt,50 MP + 50 MP + 10 MP Triple Rear , 50 MP Front Camera,6e+03, 90W Fast Charging
59,CMF,Phone 2 Pro,17857,83,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 Pro, Octa Core, 2.5 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 16 MP Front Camera,5e+03, 33W Fast Charging
60,Xiaomi,Redmi Note 14 Pro Plus,25640,83,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v14,No,6.67, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 20 MP Front Camera,6.2e+03, 90W Fast Charging
61,Tecno,Pova 7 5G,14999,76,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.78, 1080 x 2460 px, 144 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP Dual Rear , 13 MP Front Camera,6e+03, 45W Fast Charging
62,Apple,iPhone 15,59499,81,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Bionic A16, Hexa Core, 3.46 GHz Processor",Memory Card Not Supported,Android version undefined,No,6.1, 1179 x 2556 px Display with Dynamic Island,,6 GB RAM, 128 GB inbuilt,48 MP + 12 MP Dual Rear , 12 MP Front Camera,3.348e+03, Fast Charging
63,Samsung,Galaxy F12 ,5000,73,4.55,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Exynos 850, Octa Core, 2 GHz Processor","Memory Card Supported, upto 512 GB",Android v11,No,6.5, 720 x 1600 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 128 GB inbuilt,48 MP Quad Rear , 8 MP Front Camera,6e+03, 15W Fast Charging
64,iQOO,Z10 Lite,9998,71,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v15,No,6.74, 720 x 1600 px, 90 Hz Display,4 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 5 MP Front Camera,6e+03, 15W Fast Charging
65,Motorola,Edge 60 Stylus,22958,86,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.7, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 13 MP Dual Rear , 32 MP Front Camera,5e+03, 68W Fast Charging
