,brand,model,price,Spec-score,Rating,Network,processor,memory_card,android_version,Foldable,display_size,Resolution,Frame Rate,RAM,Memory,Rear Camera,Front Camera,Battery,Fast charge
563,Samsung,Galaxy A25 5G,19899,82,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1280, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.5, 1080 x 2340 px, 120 Hz Display with Water Drop Notch,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
564,Vivo,V29e,26999,83,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 695, Octa Core, 2.2 GHz Processor",Memory Card (Hybrid),Android v13,No,6.78, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,64 MP + 8 MP Dual Rear , 50 MP Front Camera,5e+03, 44W Fast Charging
565,Realme,12 Pro 5G,19999,79,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor",Memory Card Not Supported,Android v14,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 32 MP + 8 MP Triple Rear , 16 MP Front Camera,5e+03, 67W Fast Charging
566,Vivo,X100 Pro 5G,89899,91,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9300, Octa Core, 3.25 GHz Processor",Memory Card Not Supported,Android v14,No,6.78, 1260 x 2800 px, 120 Hz Display with Punch Hole,16 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 50 MP Triple Rear , 32 MP Front Camera,5.4e+03, 100W Fast Charging
567,OPPO,Reno 10 Pro,29999,84,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 778G, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v13,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 32 MP + 8 MP Triple Rear , 32 MP Front Camera,4.6e+03, 80W Fast Charging
568,Xiaomi,Redmi Note 12 5G,13490,75,3.9,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 4 Gen 1, Octa Core, 2 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v12,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,4 GB RAM, 128 GB inbuilt,48 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 33W Fast Charging
569,Realme,GT 2 Pro 5G,30999,86,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Gen1, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v12,No,6.7, 1440 x 3216 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 50 MP + 2 MP Triple Rear , 32 MP Front Camera,5e+03, 65W Fast Charging
570,Apple,iPhone 13 Pro Max ,179900,84,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Bionic A15, Hexa Core, 3.22 GHz Processor",Memory Card Not Supported,Android version undefined,No,6.7, 1284 x 2778 px, 120 Hz Display with Small Notch,6 GB RAM, 1 TB inbuilt,12 MP + 12 MP + 12 MP Triple Rear , 12 MP Front Camera,4.35e+03, Fast Charging
571,Samsung,Galaxy S22 5G,72999,84,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon  8 Gen1, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v12,No,6.1, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 12 MP + 10 MP Triple Rear , 10 MP Front Camera,3.7e+03, 25W Fast Charging
572,OnePlus,10 Pro 5G,42389,86,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Gen1, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v12,No,6.7, 1440 x 3216 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 48 MP + 8 MP Triple Rear , 32 MP Front Camera,5e+03, 80W Fast Charging
575,Realme,P1 Speed 5G ,17490,81,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 E, Octa Core, 2.5 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v14,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,5e+03, 45W Fast Charging
576,Samsung,Galaxy A26 ,20950,80,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v15,No,6.7, 1080 x 2340 px, 120 Hz Display with Water Drop Notch,6 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
